Unnamed: 0.1,Unnamed: 0,Organisation,Rocket_Status,Price,Mission_Status,Launchpad,Launch Complex,State,Country,Year,Month,Day,Rocket Name/Model,Payloads
1386,1386,Boeing,StatusRetired,,Success,SLC-17A,Cape Canaveral AFS,Florida,USA,1997,5,20,Delta II 7925,Telenor Thor II
1387,1387,VKS RF,StatusRetired,,Failure,Site 45/1,Baikonur Cosmodrome,,Kazakhstan,1997,5,20,Zenit-2,Tselina-2 n†­19
1388,1388,NASA,StatusRetired,450.0,Success,LC-39A,Kennedy Space Center,Florida,USA,1997,5,15,Space Shuttle Atlantis,STS-84
1389,1389,VKS RF,StatusRetired,,Success,Site 43/4,Plesetsk Cosmodrome,,Russia,1997,5,14,Molniya-M /Block 2BL,Cosmos 2342
1390,1390,CASC,StatusActive,69.7,Success,LC-2,Xichang Satellite Launch Center,,China,1997,5,11,Long March 3A,ChinaSat 6
1391,1391,Boeing,StatusRetired,,Success,SLC-2W,Vandenberg AFB,California,USA,1997,5,5,Delta II 7920-10C,MS-1
1392,1392,Lockheed,StatusRetired,,Success,SLC-36B,Cape Canaveral AFS,Florida,USA,1997,4,25,Atlas I,GOES-K
1393,1393,Northrop,StatusActive,40.0,Success,Stargazer,Base Aerea de Gando,,Gran Canaria,1997,4,21,Pegasus XL,MiniSat & Celestis space burial
1394,1394,VKS RF,StatusRetired,,Success,Site 132/1,Plesetsk Cosmodrome,,Russia,1997,4,17,Cosmos-3M (11K65M),Cosmos 2341
1395,1395,Arianespace,StatusRetired,,Success,ELA-2,Guiana Space Centre,French Guiana,France,1997,4,16,Ariane 44LP,"Thaicom 3, BSAT 1a"
1396,1396,NASA,StatusRetired,450.0,Success,LC-39A,Kennedy Space Center,Florida,USA,1997,4,4,Space Shuttle Columbia,STS-83
1397,1397,Lockheed,StatusRetired,35.0,Success,SLC-4W,Vandenberg AFB,California,USA,1997,4,4,Titan II(23)G,USA-131
1398,1398,ILS,StatusRetired,,Success,SLC-36A,Cape Canaveral AFS,Florida,USA,1997,3,8,Atlas IIA,Tempo 2
1399,1399,MITT,StatusActive,,Success,Svobodny Cosmodrome,,,Russia,1997,3,4,Start-1,Zeya
1400,1400,Arianespace,StatusRetired,,Success,ELA-2,Guiana Space Centre,French Guiana,France,1997,3,1,Ariane 44P,Intelsat 801
1401,1401,Lockheed,StatusRetired,,Success,SLC-40,Cape Canaveral AFS,Florida,USA,1997,2,23,Titan IV(402)B,DSP
1402,1402,ILS,StatusRetired,,Success,SLC-36B,Cape Canaveral AFS,Florida,USA,1997,2,17,Atlas IIAS,JCSAT-4
1403,1403,VKS RF,StatusRetired,,Success,Site 32/2,Plesetsk Cosmodrome,,Russia,1997,2,14,Tsyklon-3,Cosmos 2337 to 2339 & Gonets 4 to 6
1404,1404,ISAS,StatusRetired,,Success,Mu Pad,Uchinoura Space Center,,Japan,1997,2,12,Mu-V / M-24,Muses B
1405,1405,NASA,StatusRetired,450.0,Success,LC-39A,Kennedy Space Center,Florida,USA,1997,2,11,Space Shuttle Discovery,STS-82
1406,1406,Arianespace,StatusRetired,,Success,ELA-2,Guiana Space Centre,French Guiana,France,1997,1,30,Ariane 44L,"GE-2, Nahuel 1A"
1407,1407,Boeing,StatusRetired,,Failure,SLC-17A,Cape Canaveral AFS,Florida,USA,1997,1,17,Delta II 7925,GPS IIR-1
1408,1408,NASA,StatusRetired,450.0,Success,LC-39B,Kennedy Space Center,Florida,USA,1997,1,12,Space Shuttle Atlantis,STS-81
